City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Hermanus,ZA,-34.42,19.23,55.99,91,100,3.0,overcast clouds,0.0,0
1,Punta Arenas,CL,-53.15,-70.92,35.6,93,94,4.7,overcast clouds,0.0,0
2,Rikitea,PF,-23.12,-134.97,70.99,65,58,17.29,broken clouds,0.0,0
3,Port Alfred,ZA,-33.59,26.89,57.99,91,37,4.0,scattered clouds,0.0,0
4,Ushuaia,AR,-54.8,-68.3,35.6,80,56,5.82,broken clouds,0.0,0
5,Bathsheba,BB,13.22,-59.52,82.4,83,40,20.8,haze,0.0,0
6,Albany,US,42.6,-73.97,81.0,85,30,2.84,scattered clouds,0.0,0
7,Kampong Thum,KH,12.71,104.89,85.93,76,69,6.15,moderate rain,1.31,0
8,Bethel,US,41.37,-73.41,73.4,73,1,6.93,clear sky,0.0,0
9,Komsomolskiy,UZ,40.43,71.72,71.6,35,0,4.7,clear sky,0.0,0
10,Port Elizabeth,ZA,-33.92,25.57,51.8,93,53,5.82,broken clouds,0.0,0
11,Khatanga,RU,71.97,102.5,66.33,50,83,9.26,broken clouds,0.0,0
12,Gazojak,TM,41.19,61.4,86.67,13,0,13.94,clear sky,0.0,0
13,Omboue,GA,-1.57,9.26,71.55,93,34,4.97,scattered clouds,0.0,0
14,Rafai,CF,4.95,23.92,67.33,98,12,2.39,few clouds,0.0,0
15,Bonavista,CA,48.65,-53.11,50.32,74,99,15.99,overcast clouds,0.0,0
16,Yaan,NG,7.38,8.57,70.18,98,100,6.44,light rain,0.15,0
17,Castro,BR,-24.79,-50.01,57.18,83,0,2.37,clear sky,0.0,0
18,Dunedin,NZ,-45.87,170.5,45.0,74,0,1.01,clear sky,0.0,0
19,Puerto Ayora,EC,-0.74,-90.35,70.0,94,21,1.99,few clouds,0.0,0
20,Salta,AR,-24.79,-65.41,59.0,82,75,6.93,broken clouds,0.0,0
