City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Rikitea,PF,70.99,-23.12,-134.97,Pension Maro'i
5,Bathsheba,BB,82.4,13.22,-59.52,Atlantis Hotel
6,Albany,US,81.0,42.6,-73.97,
8,Bethel,US,73.4,41.37,-73.41,Courtyard by Marriott Danbury
9,Komsomolskiy,UZ,71.6,40.43,71.72,Ikathouse
11,Khatanga,RU,66.33,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
12,Gazojak,TM,86.67,41.19,61.4,
13,Omboue,GA,71.55,-1.57,9.26,Hotel Olako
14,Rafai,CF,67.33,4.95,23.92,
19,Puerto Ayora,EC,70.0,-0.74,-90.35,Finch Bay Galapagos Hotel
21,Busselton,AU,64.0,-33.65,115.33,Observatory Guest House
24,Jamestown,US,73.0,42.1,-79.24,Hampton Inn & Suites Jamestown
27,Flinders,AU,60.01,-34.58,150.86,Shellharbour Resort & Conference Centre
29,Lorengau,PG,86.18,-2.02,147.27,Lorengau Harbourside Hotel
31,Vaini,TO,80.6,-21.2,-175.2,Keleti Beach Resort
36,Corrales,US,90.0,35.24,-106.61,Hilton Garden Inn Albuquerque North/Rio Rancho
37,Cayenne,GF,77.0,4.93,-52.33,Hôtel Le Dronmi
38,Boca Do Acre,BR,75.09,-8.75,-67.4,Hotel Linhares
39,Zyryanka,RU,88.72,65.75,150.85,Zyryanka
40,Namibe,AO,67.03,-15.2,12.15,Hotel Chik Chik Namibe
41,Sao Filipe,CV,76.01,14.9,-24.5,Tortuga B&B
42,Leningradskiy,RU,61.48,69.38,178.42,
46,Avarua,CK,77.0,-21.21,-159.78,Paradise Inn
48,Yellowknife,CA,79.0,62.46,-114.35,The Explorer Hotel
49,Vao,NC,69.33,-22.67,167.48,Hotel Kou-Bugny
50,Fortuna,US,60.01,40.6,-124.16,Super 8 by Wyndham Fortuna
52,East London,ZA,61.41,-33.02,27.91,Tu Casa
54,Havelock,US,79.0,34.88,-76.9,Sherwood Motel
56,Nyurba,RU,69.98,63.28,118.33,Gostinitsa Alrosa
59,Faanui,PF,77.5,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
60,Cidahu,ID,84.2,-6.31,106.06,Pondok Pesantren Modern Darussalam Pandeglang
61,Arraial Do Cabo,BR,72.93,-22.97,-42.03,Pousada Porto Praia
62,Grand Gaube,MU,70.0,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
64,Poya,NC,75.43,-21.35,165.15,
67,Nantucket,US,64.99,41.28,-70.1,Jared Coffin House
69,Geraldton,AU,68.0,-28.77,114.6,Broadwater Mariner Resort
72,Chokurdakh,RU,72.7,70.63,147.92,
