City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Udachnyy,RU,2020-06-17 02:19:39,66.42,112.4,57.2,44,75,6.71
1,Kapaa,US,2020-06-17 02:19:40,22.08,-159.32,82.4,65,20,16.11
2,Pisco,PE,2020-06-17 02:19:40,-13.7,-76.22,62.6,82,2,6.93
3,Chuy,UY,2020-06-17 02:19:40,-33.7,-53.46,60.93,95,82,7.83
4,Gamba,GA,2020-06-17 02:19:41,-2.65,10.0,73.06,92,100,6.62
5,Qaqortoq,GL,2020-06-17 02:19:41,60.72,-46.03,39.2,93,1,6.93
6,Ribeira Grande,PT,2020-06-17 02:19:42,38.52,-28.7,64.81,89,65,19.69
7,Faanui,PF,2020-06-17 02:19:42,-16.48,-151.75,79.79,78,96,2.35
8,Cap Malheureux,MU,2020-06-17 02:19:43,-19.98,57.61,66.99,85,8,8.01
9,Boddam,GB,2020-06-17 02:19:44,57.47,-1.78,54.0,93,75,2.24
10,Pangnirtung,CA,2020-06-17 02:19:44,66.15,-65.71,33.66,88,23,1.61
11,Rikitea,PF,2020-06-17 02:19:44,-23.12,-134.97,75.43,79,0,16.26
12,Ushuaia,AR,2020-06-17 02:17:25,-54.8,-68.3,37.4,86,75,23.04
13,Lasa,IT,2020-06-17 02:19:45,46.62,10.7,54.0,100,90,5.82
14,Port Alfred,ZA,2020-06-17 02:19:46,-33.59,26.89,52.0,88,0,3.0
15,Kargopol,RU,2020-06-17 02:19:46,61.51,38.95,47.39,78,91,7.54
16,Keuruu,FI,2020-06-17 02:19:46,62.27,24.7,68.0,64,11,4.7
17,Ponta Do Sol,PT,2020-06-17 02:19:47,32.67,-17.1,68.0,88,40,4.7
18,Kununurra,AU,2020-06-17 02:19:47,-15.77,128.73,78.8,24,0,10.29
19,San Juan,AR,2020-06-17 02:19:48,-31.54,-68.54,52.84,44,0,6.93
20,Belmonte,BR,2020-06-17 02:19:48,-15.86,-38.88,73.4,88,40,8.05
21,Kuryk,KZ,2020-06-17 02:19:48,43.2,51.65,73.0,32,46,14.43
22,Vaini,TO,2020-06-17 02:19:49,-21.2,-175.2,77.0,65,40,11.41
23,San Cristobal,VE,2020-06-17 02:19:49,7.77,-72.22,66.88,92,100,2.82
24,Lachhmangarh,IN,2020-06-17 02:19:49,27.82,75.03,95.04,27,10,13.29
25,Narsaq,GL,2020-06-17 02:19:49,60.92,-46.05,39.2,93,62,6.93
26,Cape Town,ZA,2020-06-17 02:18:59,-33.93,18.42,48.99,93,0,3.36
27,Hobart,AU,2020-06-17 02:19:14,-42.88,147.33,50.0,61,20,9.17
28,Hilo,US,2020-06-17 02:19:50,19.73,-155.09,73.99,88,90,6.93
29,Khatanga,RU,2020-06-17 02:19:50,71.97,102.5,52.16,46,74,9.6
30,Airai,TL,2020-06-17 02:15:17,-8.93,125.41,68.86,72,5,6.85
31,Omsukchan,RU,2020-06-17 02:19:52,62.53,155.8,67.21,52,100,0.65
32,Lorengau,PG,2020-06-17 02:19:52,-2.02,147.27,84.33,77,28,7.45
33,Morros,BR,2020-06-17 02:19:53,-9.45,-46.3,74.5,62,65,5.91
34,Mount Gambier,AU,2020-06-17 02:15:18,-37.83,140.77,55.4,82,90,6.93
